0 $F,0,"00:00:00","11:49:52","00:00:00","      "
1012 $F,0,"00:00:00","11:49:53","00:00:00","      "
1998 $F,0,"00:00:00","11:49:54","00:00:00","      "
3036 $I,"11:49:55","20 Apr 18"
3037 $I,"11:49:55","20 Apr 18"
3038 $I,"11:49:55","20 Apr 18"
3039 $F,9999,"00:00:00","11:49:55","00:00:00","      "
3040 $B,78,"Juniors men 200 Dobbin 1"
3041 $E,"TRACKNAME","Arena Geisingen"
3041 $E,"TRACKLENGTH","0.200"
3041 $B,78,"Juniors men 200 Dobbin 1"
3042 $E,"TRACKNAME","Arena Geisingen"
3042 $E,"TRACKLENGTH","0.200"
3044 $C,1,"Juniors men"
3046 $A,"714","714",FT-43740,"Elvio","Agurius Laksono (IDN)","IDN",1
3049 $COMP,"714","714",1,"Elvio","Agurius Laksono (IDN)","IDN",""
3050 $A,"715","715",SZ-22723,"Baptiste","Allain (FRA)","FRA",1
3051 $COMP,"715","715",1,"Baptiste","Allain (FRA)","FRA",""
3051 $A,"716","716",CN-13057,"Tiago","Almeida (POR)","POR",1
3052 $COMP,"716","716",1,"Tiago","Almeida (POR)","POR",""
3054 $A,"717","717",TX-03085,"Simone","Angelozzi (ITA)","ITA",1
3055 $COMP,"717","717",1,"Simone","Angelozzi (ITA)","ITA",""
3057 $A,"718","718",NN-15077,"Lorenzo","Baglioni (ITA)","ITA",1
3057 $COMP,"718","718",1,"Lorenzo","Baglioni (ITA)","ITA",""
3058 $A,"720","720",NF-17876,"Christopher","Balzer (GER)","GER",1
3060 $COMP,"720","720",1,"Christopher","Balzer (GER)","GER",""
3061 $A,"721","721",TF-89840,"Stephane","Barbera (ESP)","ESP",1
3063 $COMP,"721","721",1,"Stephane","Barbera (ESP)","ESP",""
3063 $A,"722","722",FZ-84331,"Matteo","Barison (ITA)","ITA",1
3064 $COMP,"722","722",1,"Matteo","Barison (ITA)","ITA",""
3064 $A,"723","723",SZ-85686,"Simone","Baroni (ITA)","ITA",1
